review_id,review_text,review_rating
1,"Great product, I really love it!",5
2,"The quality was okay, not the best but decent for the price.",3
3,Terrible experience. The product broke after two days.,1
4,Absolutely fantastic! Exceeded my expectations.,5
5,"The product is good, but shipping was delayed.",4
6,Not worth the price. Very disappointed.,2
7,"Amazing quality, would buy again.",5
8,It's just okay. Nothing special.,3
9,Poor quality. Not what I expected at all.,1
10,Love it! Will recommend to my friends.,5
11,Decent product for the cost. Satisfied overall.,4
12,Worst purchase ever. Totally dissatisfied.,1
13,"The product works as described, but nothing extraordinary.",3
14,Fantastic! Great value for money.,5
15,"Not great, but not terrible either.",3
16,Horrible experience. The product is very cheap.,1
17,Good quality for the price. I’m happy with it.,4
18,Exceeded my expectations in every way!,5
19,"Average product, you get what you pay for.",3
20,"Terrible, would not recommend it to anyone.",1
21,Excellent product. Will buy again.,5
22,Just okay. Didn’t wow me.,3
23,Disappointed with the quality. Not as advertised.,2
24,"Product is fine, but customer service was awful.",3
25,Very happy with my purchase. Great quality!,5
26,"It's good, but I've seen better.",3
27,Quality is not as good as described.,2
28,Loved the product! High quality and fast shipping.,5
29,"It's alright, but there are better options out there.",3
30,Would not buy again. Very poor quality.,1
31,Superb product! Very happy with it.,5
32,"Okay product, but not what I was looking for.",3
33,"Not great, but it gets the job done.",3
34,Amazing! Far better than I expected.,5
35,Disappointing quality. It broke after a week.,1
36,Very good product. Met my expectations.,4
37,Horrible quality. Waste of money.,1
38,"Satisfied with my purchase, but there’s room for improvement.",4
39,Fantastic quality for the price!,5
40,It’s okay. Nothing to write home about.,3
41,"Great product, but the color was different than pictured.",4
42,Extremely disappointed. Do not buy!,1
43,"Love the product, but it’s a bit expensive.",4
44,"Average product, but fast delivery.",3
45,Top-notch quality! Worth every penny.,5
46,"It works, but feels a bit flimsy.",3
47,"Cheaply made, wouldn't recommend.",2
48,Excellent! Surpassed all my expectations.,5
49,"Not the best, but it will do.",3
50,"Terrible product, do not waste your money.",1
